data_out = xx | data_in = 00 | adres = xx | nr_w = x | irq_in = xx | irq_out = 0 
data_out = 1f | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 02 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 02 | irq_out = 1 
data_out = 1f | data_in = 1f | adres = 10 | nr_w = 0 | irq_in = 02 | irq_out = 1 
data_out = 1f | data_in = 02 | adres = 10 | nr_w = 0 | irq_in = 02 | irq_out = 1 
data_out = 1f | data_in = 02 | adres = 10 | nr_w = 0 | irq_in = 02 | irq_out = 1 
data_out = 1f | data_in = 02 | adres = 10 | nr_w = 0 | irq_in = 02 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 04 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 04 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 04 | irq_out = 1 
data_out = 1f | data_in = 1f | adres = 10 | nr_w = 0 | irq_in = 04 | irq_out = 1 
data_out = 1f | data_in = 03 | adres = 10 | nr_w = 0 | irq_in = 04 | irq_out = 1 
data_out = 1f | data_in = 03 | adres = 10 | nr_w = 0 | irq_in = 04 | irq_out = 1 
data_out = 1f | data_in = 03 | adres = 10 | nr_w = 0 | irq_in = 04 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 08 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 08 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 08 | irq_out = 1 
data_out = 1f | data_in = 1f | adres = 10 | nr_w = 0 | irq_in = 08 | irq_out = 1 
data_out = 1f | data_in = 04 | adres = 10 | nr_w = 0 | irq_in = 08 | irq_out = 1 
data_out = 1f | data_in = 04 | adres = 10 | nr_w = 0 | irq_in = 08 | irq_out = 1 
data_out = 1f | data_in = 04 | adres = 10 | nr_w = 0 | irq_in = 08 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 10 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 10 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 10 | irq_out = 1 
data_out = 1f | data_in = 1f | adres = 10 | nr_w = 0 | irq_in = 10 | irq_out = 1 
data_out = 1f | data_in = 05 | adres = 10 | nr_w = 0 | irq_in = 10 | irq_out = 1 
data_out = 1f | data_in = 05 | adres = 10 | nr_w = 0 | irq_in = 10 | irq_out = 1 
data_out = 1f | data_in = 05 | adres = 10 | nr_w = 0 | irq_in = 10 | irq_out = 1 
data_out = 1f | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 01 | irq_out = 1 
data_out = 00 | data_in = 01 | adres = 11 | nr_w = 1 | irq_in = 01 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 01 | irq_out = 0 
data_out = 00 | data_in = 1f | adres = 11 | nr_w = 0 | irq_in = 01 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 01 | irq_out = 0 
data_out = 1f | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 1f | adres = 11 | nr_w = 0 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 02 | irq_out = 0 
data_out = 1f | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 1f | adres = 11 | nr_w = 0 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 04 | irq_out = 0 
data_out = 1f | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 1f | adres = 11 | nr_w = 0 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 08 | irq_out = 0 
data_out = 1f | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 10 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 10 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 10 | irq_out = 0 
data_out = 00 | data_in = 1f | adres = 11 | nr_w = 0 | irq_in = 10 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 10 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 01 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 01 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 01 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 01 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 01 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 02 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 04 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 08 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 1 | irq_in = 10 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 01 | nr_w = 0 | irq_in = 10 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 11 | nr_w = 0 | irq_in = 10 | irq_out = 0 
data_out = 00 | data_in = 00 | adres = 10 | nr_w = 0 | irq_in = 10 | irq_out = 0 
